id,tx,ty,tz,qw,qx,qy,qz,fx,fy,cx,cy
95,5.531459,-1.755566,-2.712358,0.774134,-0.015116,-0.632721,-0.012348,1414.141602,1414.141602,480,270
96,5.571390,-1.755558,-2.774322,0.778754,-0.016647,-0.626965,-0.013396,1414.141602,1414.141602,480,270
97,5.610157,-1.755535,-2.834901,0.783177,-0.018176,-0.621366,-0.014414,1414.141602,1414.141602,480,270
98,5.647716,-1.755496,-2.894032,0.787401,-0.019699,-0.615934,-0.015403,1414.141602,1414.141602,480,270
99,5.684015,-1.755441,-2.951649,0.791427,-0.021215,-0.610676,-0.016363,1414.141602,1414.141602,480,270
100,5.719010,-1.755369,-3.007685,0.795257,-0.022722,-0.605600,-0.017296,1414.141602,1414.141602,480,270
101,5.752653,-1.755278,-3.062075,0.798889,-0.024216,-0.600715,-0.018202,1414.141602,1414.141602,480,270
102,5.784893,-1.755169,-3.114753,0.802324,-0.025696,-0.596029,-0.019082,1414.141602,1414.141602,480,270
103,5.815683,-1.755039,-3.165653,0.805564,-0.027158,-0.591551,-0.019937,1414.141602,1414.141602,480,270
104,5.844979,-1.754889,-3.214708,0.808607,-0.028602,-0.587286,-0.020767,1414.141602,1414.141602,480,270
105,5.872730,-1.754717,-3.261852,0.811455,-0.030024,-0.583245,-0.021574,1414.141602,1414.141602,480,270
106,5.898889,-1.754523,-3.307022,0.814107,-0.031423,-0.579433,-0.022358,1414.141602,1414.141602,480,270
107,5.923408,-1.754306,-3.350151,0.816563,-0.032795,-0.575859,-0.023121,1414.141602,1414.141602,480,270
108,5.946241,-1.754064,-3.391172,0.818825,-0.034139,-0.572531,-0.023864,1414.141602,1414.141602,480,270
109,5.967338,-1.753798,-3.430020,0.820890,-0.035453,-0.569454,-0.024587,1414.141602,1414.141602,480,270
110,5.986652,-1.753506,-3.466629,0.822760,-0.036733,-0.566637,-0.025292,1414.141602,1414.141602,480,270
111,6.004136,-1.753187,-3.500933,0.824433,-0.037979,-0.564086,-0.025979,1414.141602,1414.141602,480,270
112,6.019742,-1.752841,-3.532867,0.825909,-0.039187,-0.561809,-0.026650,1414.141602,1414.141602,480,270
113,6.033422,-1.752467,-3.562364,0.827187,-0.040357,-0.559811,-0.027306,1414.141602,1414.141602,480,270
114,6.045127,-1.752063,-3.589359,0.828265,-0.041484,-0.558099,-0.027947,1414.141602,1414.141602,480,270
115,6.054812,-1.751629,-3.613786,0.829144,-0.042569,-0.556679,-0.028574,1414.141602,1414.141602,480,270
116,6.062428,-1.751165,-3.635579,0.829820,-0.043607,-0.555558,-0.029188,1414.141602,1414.141602,480,270
117,6.067927,-1.750669,-3.654672,0.830292,-0.044598,-0.554742,-0.029791,1414.141602,1414.141602,480,270
118,6.071261,-1.750141,-3.670999,0.830558,-0.045540,-0.554235,-0.030382,1414.141602,1414.141602,480,270
119,6.072383,-1.749579,-3.684495,0.830615,-0.046429,-0.554043,-0.030963,1414.141602,1414.141602,480,270
120,6.071423,-1.748963,-3.696189,0.830490,-0.047276,-0.554128,-0.031538,1414.141602,1414.141602,480,270
121,6.068573,-1.748273,-3.707170,0.830211,-0.048090,-0.554442,-0.032110,1414.141602,1414.141602,480,270
122,6.063880,-1.747512,-3.717463,0.829782,-0.048872,-0.554982,-0.032680,1414.141602,1414.141602,480,270
123,6.057387,-1.746684,-3.727091,0.829206,-0.049621,-0.555742,-0.033250,1414.141602,1414.141602,480,270
124,6.049141,-1.745790,-3.736079,0.828486,-0.050337,-0.556717,-0.033819,1414.141602,1414.141602,480,270
125,6.039187,-1.744835,-3.744450,0.827623,-0.051022,-0.557901,-0.034387,1414.141602,1414.141602,480,270
126,6.027571,-1.743819,-3.752228,0.826621,-0.051674,-0.559290,-0.034956,1414.141602,1414.141602,480,270
127,6.014338,-1.742748,-3.759440,0.825481,-0.052294,-0.560878,-0.035525,1414.141602,1414.141602,480,270
128,5.999532,-1.741622,-3.766107,0.824206,-0.052882,-0.562659,-0.036095,1414.141602,1414.141602,480,270
129,5.983201,-1.740445,-3.772254,0.822798,-0.053439,-0.564627,-0.036665,1414.141602,1414.141602,480,270
130,5.965389,-1.739220,-3.777906,0.821257,-0.053965,-0.566778,-0.037237,1414.141602,1414.141602,480,270
131,5.946141,-1.737950,-3.783086,0.819588,-0.054459,-0.569105,-0.037809,1414.141602,1414.141602,480,270
132,5.925503,-1.736637,-3.787818,0.817790,-0.054923,-0.571603,-0.038383,1414.141602,1414.141602,480,270
133,5.903522,-1.735285,-3.792127,0.815866,-0.055356,-0.574265,-0.038957,1414.141602,1414.141602,480,270
134,5.880240,-1.733895,-3.796036,0.813818,-0.055759,-0.577086,-0.039533,1414.141602,1414.141602,480,270
135,5.855705,-1.732472,-3.799571,0.811647,-0.056132,-0.580060,-0.040109,1414.141602,1414.141602,480,270
136,5.829962,-1.731017,-3.802754,0.809354,-0.056475,-0.583181,-0.040687,1414.141602,1414.141602,480,270
137,5.803056,-1.729533,-3.805611,0.806942,-0.056790,-0.586444,-0.041265,1414.141602,1414.141602,480,270
138,5.775033,-1.728024,-3.808164,0.804412,-0.057075,-0.589841,-0.041844,1414.141602,1414.141602,480,270
139,5.745937,-1.726492,-3.810439,0.801766,-0.057332,-0.593367,-0.042423,1414.141602,1414.141602,480,270
140,5.715815,-1.724940,-3.812459,0.799005,-0.057560,-0.597017,-0.043002,1414.141602,1414.141602,480,270
141,5.684712,-1.723371,-3.814249,0.796131,-0.057761,-0.600783,-0.043582,1414.141602,1414.141602,480,270
142,5.652673,-1.721787,-3.815832,0.793145,-0.057935,-0.604660,-0.044161,1414.141602,1414.141602,480,270
143,5.619745,-1.720192,-3.817233,0.790050,-0.058082,-0.608643,-0.044739,1414.141602,1414.141602,480,270
144,5.585971,-1.718587,-3.818475,0.786847,-0.058203,-0.612724,-0.045316,1414.141602,1414.141602,480,270
145,5.551398,-1.716977,-3.819584,0.783537,-0.058298,-0.616899,-0.045892,1414.141602,1414.141602,480,270
146,5.516070,-1.715364,-3.820583,0.780124,-0.058367,-0.621161,-0.046467,1414.141602,1414.141602,480,270
147,5.480035,-1.713750,-3.821496,0.776608,-0.058412,-0.625504,-0.047040,1414.141602,1414.141602,480,270
148,5.443336,-1.712139,-3.822346,0.772992,-0.058432,-0.629922,-0.047610,1414.141602,1414.141602,480,270
149,5.406019,-1.710533,-3.823160,0.769279,-0.058429,-0.634410,-0.048178,1414.141602,1414.141602,480,270
150,5.368130,-1.708935,-3.823959,0.765469,-0.058402,-0.638961,-0.048743,1414.141602,1414.141602,480,270
151,5.329714,-1.707348,-3.824770,0.761566,-0.058353,-0.643570,-0.049304,1414.141602,1414.141602,480,270
152,5.290817,-1.705775,-3.825614,0.757571,-0.058281,-0.648231,-0.049862,1414.141602,1414.141602,480,270
153,5.251483,-1.704218,-3.826518,0.753488,-0.058188,-0.652938,-0.050416,1414.141602,1414.141602,480,270
154,5.211760,-1.702681,-3.827505,0.749318,-0.058074,-0.657687,-0.050965,1414.141602,1414.141602,480,270
155,5.171691,-1.701166,-3.828598,0.745066,-0.057940,-0.662470,-0.051510,1414.141602,1414.141602,480,270
156,5.131322,-1.699675,-3.829823,0.740732,-0.057786,-0.667284,-0.052049,1414.141602,1414.141602,480,270
157,5.090699,-1.698213,-3.831203,0.736321,-0.057613,-0.672121,-0.052583,1414.141602,1414.141602,480,270
158,5.049867,-1.696781,-3.832762,0.731835,-0.057422,-0.676978,-0.053111,1414.141602,1414.141602,480,270
159,5.008872,-1.695382,-3.834525,0.727278,-0.057214,-0.681849,-0.053632,1414.141602,1414.141602,480,270
160,4.967759,-1.694020,-3.836515,0.722652,-0.056988,-0.686728,-0.054147,1414.141602,1414.141602,480,270
161,4.926572,-1.692696,-3.838757,0.717961,-0.056746,-0.691610,-0.054655,1414.141602,1414.141602,480,270
162,4.885360,-1.691415,-3.841275,0.713209,-0.056488,-0.696492,-0.055156,1414.141602,1414.141602,480,270
163,4.844164,-1.690178,-3.844092,0.708398,-0.056215,-0.701366,-0.055650,1414.141602,1414.141602,480,270
164,4.803033,-1.688989,-3.847234,0.703534,-0.055929,-0.706230,-0.056135,1414.141602,1414.141602,480,270
165,4.762012,-1.687850,-3.850724,0.698619,-0.055629,-0.711078,-0.056613,1414.141602,1414.141602,480,270
166,4.721144,-1.686764,-3.854585,0.693657,-0.055316,-0.715906,-0.057082,1414.141602,1414.141602,480,270
167,4.680476,-1.685734,-3.858843,0.688654,-0.054991,-0.720709,-0.057542,1414.141602,1414.141602,480,270
168,4.640054,-1.684762,-3.863522,0.683612,-0.054655,-0.725482,-0.057994,1414.141602,1414.141602,480,270
169,4.599922,-1.683853,-3.868645,0.678536,-0.054308,-0.730222,-0.058437,1414.141602,1414.141602,480,270
170,4.560127,-1.683007,-3.874236,0.673431,-0.053952,-0.734925,-0.058870,1414.141602,1414.141602,480,270
171,4.520713,-1.682229,-3.880321,0.668301,-0.053587,-0.739586,-0.059294,1414.141602,1414.141602,480,270
172,4.481727,-1.681521,-3.886922,0.663150,-0.053213,-0.744201,-0.059709,1414.141602,1414.141602,480,270
173,4.443213,-1.680885,-3.894064,0.657983,-0.052832,-0.748767,-0.060113,1414.141602,1414.141602,480,270
174,4.405217,-1.680325,-3.901772,0.652806,-0.052445,-0.753281,-0.060508,1414.141602,1414.141602,480,270
175,4.367785,-1.679844,-3.910068,0.647623,-0.052051,-0.757738,-0.060893,1414.141602,1414.141602,480,270
176,4.330961,-1.679443,-3.918978,0.642439,-0.051653,-0.762135,-0.061268,1414.141602,1414.141602,480,270
177,4.294791,-1.679127,-3.928525,0.637259,-0.051250,-0.766469,-0.061632,1414.141602,1414.141602,480,270
178,4.259321,-1.678898,-3.938734,0.632089,-0.050843,-0.770737,-0.061987,1414.141602,1414.141602,480,270
179,4.224597,-1.678758,-3.949628,0.626933,-0.050434,-0.774936,-0.062331,1414.141602,1414.141602,480,270
180,4.190662,-1.678711,-3.961232,0.621797,-0.050023,-0.779063,-0.062665,1414.141602,1414.141602,480,270
181,4.156454,-1.678843,-3.973490,0.616524,-0.049495,-0.783259,-0.062871,1414.141602,1414.141602,480,270
182,4.120921,-1.679235,-3.986320,0.610958,-0.048745,-0.787659,-0.062834,1414.141602,1414.141602,480,270
183,4.084129,-1.679879,-3.999704,0.605105,-0.047786,-0.792245,-0.062556,1414.141602,1414.141602,480,270
184,4.046142,-1.680768,-4.013625,0.598972,-0.046632,-0.797000,-0.062040,1414.141602,1414.141602,480,270
185,4.007025,-1.681893,-4.028067,0.592568,-0.045297,-0.801907,-0.061289,1414.141602,1414.141602,480,270
186,3.966844,-1.683247,-4.043013,0.585898,-0.043794,-0.806950,-0.060307,1414.141602,1414.141602,480,270
187,3.925663,-1.684824,-4.058446,0.578970,-0.042138,-0.812112,-0.059096,1414.141602,1414.141602,480,270
188,3.883546,-1.686614,-4.074350,0.571793,-0.040343,-0.817374,-0.057661,1414.141602,1414.141602,480,270
189,3.840560,-1.688611,-4.090707,0.564373,-0.038424,-0.822721,-0.056003,1414.141602,1414.141602,480,270
190,3.796768,-1.690807,-4.107501,0.556720,-0.036395,-0.828135,-0.054128,1414.141602,1414.141602,480,270
191,3.752237,-1.693195,-4.124715,0.548842,-0.034269,-0.833601,-0.052039,1414.141602,1414.141602,480,270
192,3.707030,-1.695767,-4.142332,0.540748,-0.032062,-0.839100,-0.049741,1414.141602,1414.141602,480,270
193,3.661213,-1.698514,-4.160335,0.532448,-0.029786,-0.844619,-0.047239,1414.141602,1414.141602,480,270
194,3.614851,-1.701431,-4.178708,0.523951,-0.027456,-0.850140,-0.044539,1414.141602,1414.141602,480,270
195,3.568008,-1.704509,-4.197433,0.515269,-0.025085,-0.855649,-0.041645,1414.141602,1414.141602,480,270
196,3.520750,-1.707740,-4.216494,0.506412,-0.022686,-0.861130,-0.038565,1414.141602,1414.141602,480,270
197,3.473142,-1.711118,-4.235875,0.497393,-0.020271,-0.866570,-0.035305,1414.141602,1414.141602,480,270
198,3.425248,-1.714633,-4.255557,0.488223,-0.017852,-0.871954,-0.031872,1414.141602,1414.141602,480,270
199,3.377133,-1.718280,-4.275525,0.478916,-0.015442,-0.877270,-0.028275,1414.141602,1414.141602,480,270
200,3.328863,-1.722051,-4.295761,0.469484,-0.013051,-0.882504,-0.024521,1414.141602,1414.141602,480,270
201,3.280502,-1.725937,-4.316249,0.459941,-0.010691,-0.887646,-0.020620,1414.141602,1414.141602,480,270
202,3.232116,-1.729931,-4.336973,0.450302,-0.008370,-0.892683,-0.016580,1414.141602,1414.141602,480,270
203,3.183768,-1.734025,-4.357914,0.440582,-0.006099,-0.897606,-0.012412,1414.141602,1414.141602,480,270
204,3.135525,-1.738213,-4.379057,0.430796,-0.003885,-0.902404,-0.008125,1414.141602,1414.141602,480,270
205,3.087451,-1.742487,-4.400385,0.420960,-0.001738,-0.907070,-0.003731,1414.141602,1414.141602,480,270
206,3.039611,-1.746838,-4.421880,0.411090,0.000336,-0.911594,0.000760,1414.141602,1414.141602,480,270
207,2.992069,-1.751260,-4.443526,0.401204,0.002331,-0.915970,0.005336,1414.141602,1414.141602,480,270
208,2.944892,-1.755744,-4.465306,0.391317,0.004240,-0.920192,0.009985,1414.141602,1414.141602,480,270
209,2.898143,-1.760284,-4.487204,0.381447,0.006059,-0.924254,0.014696,1414.141602,1414.141602,480,270
210,2.851889,-1.764871,-4.509202,0.371613,0.007783,-0.928151,0.019455,1414.141602,1414.141602,480,270
211,2.806193,-1.769499,-4.531284,0.361832,0.009410,-0.931881,0.024251,1414.141602,1414.141602,480,270
212,2.761121,-1.774159,-4.553432,0.352122,0.010936,-0.935439,0.029069,1414.141602,1414.141602,480,270
213,2.716737,-1.778844,-4.575631,0.342502,0.012361,-0.938824,0.033898,1414.141602,1414.141602,480,270
214,2.673107,-1.783546,-4.597863,0.332990,0.013682,-0.942035,0.038724,1414.141602,1414.141602,480,270
215,2.630295,-1.788258,-4.620111,0.323605,0.014900,-0.945073,0.043532,1414.141602,1414.141602,480,270
216,2.588367,-1.792972,-4.642360,0.314367,0.016015,-0.947936,0.048311,1414.141602,1414.141602,480,270
217,2.547387,-1.797681,-4.664590,0.305292,0.017030,-0.950628,0.053046,1414.141602,1414.141602,480,270
218,2.507421,-1.802377,-4.686787,0.296402,0.017945,-0.953148,0.057724,1414.141602,1414.141602,480,270
219,2.468533,-1.807053,-4.708934,0.287714,0.018763,-0.955502,0.062332,1414.141602,1414.141602,480,270
220,2.430788,-1.811701,-4.731012,0.279247,0.019488,-0.957691,0.066855,1414.141602,1414.141602,480,270
221,2.394251,-1.816313,-4.753006,0.271020,0.020123,-0.959720,0.071281,1414.141602,1414.141602,480,270
222,2.358987,-1.820881,-4.774899,0.263052,0.020674,-0.961593,0.075595,1414.141602,1414.141602,480,270
223,2.325062,-1.825399,-4.796674,0.255361,0.021144,-0.963316,0.079786,1414.141602,1414.141602,480,270
224,2.292539,-1.829859,-4.818315,0.247965,0.021539,-0.964894,0.083839,1414.141602,1414.141602,480,270
225,2.261484,-1.834253,-4.839803,0.240884,0.021866,-0.966332,0.087741,1414.141602,1414.141602,480,270
226,2.231962,-1.838574,-4.861123,0.234134,0.022129,-0.967638,0.091480,1414.141602,1414.141602,480,270
227,2.204038,-1.842813,-4.882257,0.227735,0.022335,-0.968816,0.095043,1414.141602,1414.141602,480,270
228,2.177777,-1.846964,-4.903190,0.221703,0.022491,-0.969874,0.098417,1414.141602,1414.141602,480,270
229,2.153244,-1.851018,-4.923903,0.216056,0.022603,-0.970818,0.101589,1414.141602,1414.141602,480,270
230,2.130503,-1.854969,-4.944382,0.210812,0.022677,-0.971655,0.104548,1414.141602,1414.141602,480,270
231,2.109619,-1.858809,-4.964607,0.205988,0.022720,-0.972390,0.107282,1414.141602,1414.141602,480,270
232,2.090658,-1.862530,-4.984563,0.201602,0.022739,-0.973031,0.109777,1414.141602,1414.141602,480,270
233,2.073685,-1.866124,-5.004233,0.197669,0.022738,-0.973581,0.112022,1414.141602,1414.141602,480,270
234,2.058764,-1.869585,-5.023601,0.194208,0.022725,-0.974048,0.114006,1414.141602,1414.141602,480,270
235,2.045961,-1.872903,-5.042647,0.191234,0.022703,-0.974435,0.115716,1414.141602,1414.141602,480,270
236,2.035339,-1.876073,-5.061358,0.188764,0.022679,-0.974747,0.117141,1414.141602,1414.141602,480,270
237,2.026965,-1.879086,-5.079715,0.186815,0.022655,-0.974987,0.118270,1414.141602,1414.141602,480,270
238,2.020903,-1.881935,-5.097703,0.185402,0.022636,-0.975157,0.119090,1414.141602,1414.141602,480,270
239,2.017219,-1.884611,-5.115303,0.184543,0.022624,-0.975259,0.119590,1414.141602,1414.141602,480,270
240,2.015976,-1.887109,-5.132499,0.184253,0.022619,-0.975293,0.119760,1414.141602,1414.141602,480,270
241,2.016208,-1.889517,-5.149553,0.184463,0.022635,-0.975260,0.119702,1414.141602,1414.141602,480,270
242,2.016898,-1.891930,-5.166735,0.185086,0.022681,-0.975162,0.119532,1414.141602,1414.141602,480,270
243,2.018036,-1.894348,-5.184036,0.186117,0.022758,-0.974998,0.119250,1414.141602,1414.141602,480,270
